item_id,timestamp,target_value
5,2020-01-01 03:50:33,14
5,2020-01-01 03:53:14,14
5,2020-01-01 03:55:18,16
5,2020-01-01 04:00:30,17
5,2020-01-01 06:26:10,14
1,2020-01-01 08:30:42,16
5,2020-01-01 12:28:58,14
7,2020-01-01 14:00:28,23
7,2020-01-01 15:15:18,23
5,2020-01-01 16:25:23,14
7,2020-01-01 16:45:05,14
5,2020-01-01 18:27:56,14
1,2020-01-01 20:30:29,36
1,2020-01-01 21:00:40,34
7,2020-01-01 22:40:58,16
2,2020-01-01 23:30:22,14
5,2020-01-02 04:24:47,14
5,2020-01-02 06:26:17,14
1,2020-01-02 08:30:42,16
7,2020-01-02 10:31:20,16
5,2020-01-02 11:52:18,14
7,2020-01-02 14:00:18,23
5,2020-01-02 14:46:39,14
2,2020-01-02 14:59:16,17
5,2020-01-02 16:26:23,14
1,2020-01-02 17:01:20,24
2,2020-01-02 19:00:06,14
7,2020-01-02 19:52:07,16
7,2020-01-02 20:29:57,14
1,2020-01-02 21:00:54,23
2,2020-01-02 23:56:14,16
5,2020-01-03 00:25:41,14
5,2020-01-03 04:25:41,14
5,2020-01-03 06:24:51,14
1,2020-01-03 08:30:43,16
5,2020-01-03 10:27:33,14
7,2020-01-03 14:00:17,23
7,2020-01-03 14:41:14,39
7,2020-01-03 16:00:17,39
5,2020-01-03 16:26:08,14
7,2020-01-03 16:45:05,14
2,2020-01-03 19:00:05,14
1,2020-01-03 20:30:27,36
1,2020-01-03 21:00:26,34
5,2020-01-03 22:30:27,14
5,2020-01-04 00:24:58,14
5,2020-01-04 04:24:25,14
5,2020-01-04 04:24:26,14
5,2020-01-04 08:29:13,14
7,2020-01-04 10:31:21,16
7,2020-01-04 14:00:58,23
5,2020-01-04 14:25:14,14
7,2020-01-04 16:00:15,39
5,2020-01-04 16:32:35,14
5,2020-01-04 18:29:17,14
2,2020-01-04 20:00:24,14
5,2020-01-05 00:25:17,14
5,2020-01-05 02:28:51,14
5,2020-01-05 06:26:20,14
5,2020-01-05 08:26:35,14
2,2020-01-05 11:03:02,20
7,2020-01-05 14:00:17,23
7,2020-01-05 15:21:53,23
7,2020-01-05 15:54:26,23
7,2020-01-05 16:45:04,14
7,2020-01-05 19:36:56,14
5,2020-01-05 22:26:05,14
1,2020-01-05 23:59:02,29
5,2020-01-06 02:24:50,14
5,2020-01-06 06:25:26,14
5,2020-01-06 10:24:48,14
7,2020-01-06 10:31:19,16
7,2020-01-06 14:02:16,23
7,2020-01-06 14:41:34,17
5,2020-01-06 16:26:08,14
5,2020-01-06 16:31:34,14
5,2020-01-06 18:26:13,14
7,2020-01-06 19:43:13,16
7,2020-01-06 21:00:37,29
1,2020-01-06 21:00:53,34
2,2020-01-06 23:51:26,16
4,2020-01-07 00:15:59,14
5,2020-01-07 00:17:00,14
5,2020-01-07 00:22:19,14
7,2020-01-07 01:24:44,14
5,2020-01-07 02:27:49,14
7,2020-01-07 06:12:01,23
5,2020-01-07 06:25:42,14
5,2020-01-07 08:18:17,14
5,2020-01-07 08:21:37,14
5,2020-01-07 08:29:01,14
7,2020-01-07 09:19:38,15
7,2020-01-07 10:31:20,16
5,2020-01-07 11:57:26,14
5,2020-01-07 12:17:50,14
5,2020-01-07 12:19:23,16
5,2020-01-07 12:25:46,17
7,2020-01-07 14:00:20,23
7,2020-01-07 14:42:08,39
5,2020-01-07 15:22:30,14
5,2020-01-07 16:03:13,14
7,2020-01-07 16:31:21,14
5,2020-01-07 17:55:59,14
7,2020-01-07 18:07:16,14
5,2020-01-07 19:09:58,14
7,2020-01-07 20:23:16,16
7,2020-01-07 21:00:36,29
2,2020-01-07 21:30:50,54
2,2020-01-07 23:30:50,14
5,2020-01-08 00:28:19,14
7,2020-01-08 01:34:46,14
7,2020-01-08 01:52:11,14
7,2020-01-08 03:57:31,16
2,2020-01-08 04:38:49,14
5,2020-01-08 08:24:30,14
4,2020-01-08 10:20:36,14
5,2020-01-08 10:23:38,16
